primaryTitle,startYear,genres,averageRating,numVotes
The Lottery Man,1919,"Comedy,Romance",5.2,15
Meyer from Berlin,1919,Comedy,6.0,252
The Misleading Widow,1919,Comedy,5.5,18
More Deadly Than the Male,1919,"Adventure,Comedy,Drama",7.2,21
Mrs. Wiggs of the Cabbage Patch,1919,"Comedy,Drama",6.3,47
"My Wife, the Movie Star",1918,Comedy,4.8,20
Never Say Quit,1919,"Action,Adventure,Comedy",6.0,15
The Little Cafe,1919,Comedy,6.8,23
Phil-for-Short,1919,Comedy,7.4,57
The Prince and Betty,1919,Comedy,7.3,17
The Doll,1919,"Comedy,Fantasy,Sci-Fi",7.4,2436
The Rebellious Bride,1919,Comedy,6.2,12
A Regular Girl,1919,Comedy,5.6,13
The Roaring Road,1919,"Comedy,Drama,Sport",5.8,669
Roped,1919,"Comedy,Western",3.7,57
A Sporting Chance,1919,"Comedy,Drama,Mystery",6.9,33
A Temperamental Wife,1919,"Comedy,Romance",7.0,23
True Heart Susie,1919,"Comedy,Drama,Romance",6.9,2035
A Virtuous Vamp,1919,"Comedy,Romance",6.2,35
When Doctors Disagree,1919,Comedy,6.8,12
When the Clouds Roll by,1919,"Action,Comedy,Romance",6.9,1004
Yankee Doodle in Berlin,1919,Comedy,5.5,792
A Yankee Princess,1919,"Comedy,Drama",5.2,14
You're Fired,1919,"Comedy,Romance",7.5,17
Billions,1920,Comedy,5.6,31
Conrad in Quest of His Youth,1920,"Comedy,Drama",7.0,76
The Dancin' Fool,1920,"Comedy,Romance",5.2,20
Dinty,1920,"Adventure,Comedy,Drama",6.8,119
Down on the Farm,1920,Comedy,6.3,159
Erotikon,1920,"Comedy,Romance",6.4,1080
Excuse My Dust,1920,"Comedy,Drama",5.8,74
The Flapper,1920,"Comedy,Romance",6.5,448
Go and Get It,1920,"Comedy,Drama,Horror",5.3,50
Good References,1920,"Comedy,Romance",6.2,22
Gyurkovicsarna,1920,Comedy,5.5,31
Headin' Home,1920,"Biography,Comedy,Drama",5.2,337
Help Wanted - Male,1920,Comedy,3.4,15
Honest Hutch,1920,"Comedy,Western",6.4,27
Huckleberry Finn,1920,"Comedy,Drama",6.5,119
Jes' Call Me Jim,1920,"Comedy,Drama",6.4,36
The Joyous Trouble-Makers,1920,"Adventure,Comedy,Western",6.8,18
Just Pals,1920,"Comedy,Drama,Western",6.6,523
Kohlhiesel's Daughters,1920,"Comedy,Romance",6.5,479
The Life of the Party,1920,"Comedy,Drama",6.1,133
The Love Expert,1920,"Comedy,Romance",5.9,181
"Love, Honor and Behave!",1920,Comedy,4.6,21
Married Life,1920,Comedy,4.7,16
The Mollycoddle,1920,"Adventure,Comedy,Romance",6.5,220
Nurse Marjorie,1920,"Comedy,Drama",6.6,86
An Old Fashioned Boy,1920,"Comedy,Romance",7.3,31
Pink Tights,1920,"Comedy,Drama,Romance",5.6,69
Pollyanna,1920,"Comedy,Drama,Family",6.4,526
The Parson's Widow,1920,"Comedy,Drama,Horror",7.1,1559
Remodeling Her Husband,1920,Comedy,7.0,73
Romeo and Juliet in the Snow,1920,Comedy,6.3,244
The Round-up,1920,"Comedy,Western",6.1,217
The Saphead,1920,"Comedy,Drama,Romance",6.1,1803
Sick Abed,1920,"Comedy,Romance",6.0,22
Suds,1920,"Comedy,Drama,Romance",6.3,298
The Texan,1920,"Comedy,Western",5.1,25
Too Much Johnson,1919,Comedy,7.2,15
What Happened to Rosa,1920,"Comedy,Romance",6.2,135
Why Change Your Wife?,1920,"Comedy,Drama",6.7,1513
The Affairs of Anatol,1921,"Comedy,Drama",6.6,1375
Alf's Button,1920,"Adventure,Comedy,Fantasy",7.6,17
All Dolled Up,1921,Comedy,5.9,108
Be My Wife,1921,Comedy,6.8,483
The Wildcat,1921,"Comedy,Drama,Romance",6.9,1350
Big Town Ideas,1921,Comedy,7.3,14
Brewster's Millions,1921,Comedy,6.8,54
Burn 'Em Up Barnes,1921,"Action,Adventure,Comedy",6.5,64
The Charm School,1921,"Comedy,Romance",4.3,15
A Connecticut Yankee in King Arthur's Court,1921,"Adventure,Comedy,Fantasy",6.8,50
Cousin Kate,1921,"Comedy,Romance",6.2,14
Crazy to Marry,1921,Comedy,7.0,23
The Dollar-a-Year Man,1921,Comedy,6.8,22
Don't Tell Everything,1921,"Comedy,Romance",5.9,30
Dream Street,1921,"Comedy,Drama,Romance",5.5,216
Ducks and Drakes,1921,"Comedy,Romance",6.4,138
Enchantment,1921,Comedy,6.3,322
"Film, flirt og forlovelse",1921,Comedy,6.1,15
Gasoline Gus,1921,Comedy,7.1,24
His Nibs,1921,Comedy,6.4,32
Keeping Up with Lizzie,1921,Comedy,7.0,13
The Kid,1921,"Comedy,Drama,Family",8.2,137640
"King, Queen and Joker",1921,Comedy,6.3,28
Leap Year,1924,Comedy,6.1,366
Mama's Affair,1921,"Comedy,Romance",4.6,33
A Message from Mars,1921,"Comedy,Fantasy,Sci-Fi",5.3,30
Miss Lulu Bett,1921,"Comedy,Drama",6.8,421
Molly O',1921,Comedy,6.3,80
Moonlight Follies,1921,Comedy,7.1,47
My Boy,1921,"Comedy,Drama",6.2,311
The Nut,1921,"Action,Comedy,Romance",6.5,309
The Old Swimmin' Hole,1921,Comedy,5.7,39
One a Minute,1921,Comedy,6.1,31
Peck's Bad Boy,1921,Comedy,6.2,109
A Perfect Crime,1921,"Adventure,Comedy,Drama",6.5,54
The Rough Diamond,1921,"Comedy,Western",7.3,13
A Sailor-Made Man,1921,"Action,Adventure,Comedy",6.8,1286
Silk Hosiery,1920,Comedy,5.7,15
A Small Town Idol,1921,"Action,Comedy,Romance",6.4,80
"Sol, sommer og studiner",1922,Comedy,6.6,10
Straight Is the Way,1921,Comedy,6.8,24
Through the Back Door,1921,"Comedy,Drama",6.8,219
Woman's Place,1921,"Comedy,Romance",3.9,30
According to Hoyle,1922,Comedy,4.8,18
Adam and Eva,1923,Comedy,8.2,53
Anderssonskans Kalle,1922,"Comedy,Drama,Family",5.2,23
Beauty's Worth,1922,"Comedy,Drama,Romance",6.4,915
Come on Over,1922,Comedy,6.3,24
The Dictator,1922,"Adventure,Comedy,Drama",3.0,23
Dr. Jack,1922,"Comedy,Romance",7.1,1709
Doubling for Romeo,1921,Comedy,7.1,28
East Is West,1922,"Comedy,Romance",6.9,26
The Ghost Breaker,1922,"Comedy,Horror",6.0,33
Grandma's Boy,1922,"Comedy,Family",7.0,2107
Head Over Heels,1922,Comedy,6.5,24
The Headless Horseman,1922,"Comedy,Drama,Horror",5.0,372
John Smith,1922,Comedy,6.1,21
Kjærlighet på pinde,1922,"Comedy,Romance",4.8,12
The Leather Pushers,1922,"Comedy,Drama,Sport",6.2,19
Luffar-Petter,1922,Comedy,5.3,90
The Married Flapper,1922,Comedy,7.5,57
